,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
0,34,0,7,8,2,1,3,0,1,0,0,39,0,0
1,18,0,5,12,0,5,0,0,0,0,0,9,20,0
2,20,4,12,12,0,4,2,0,1,0,0,39,0,1
3,13,0,7,8,2,8,3,0,1,0,0,59,0,0
4,2,4,7,2,2,2,1,0,1,0,0,51,0,0
5,41,0,26,8,0,12,2,0,1,0,0,54,0,1
6,17,0,7,8,0,5,0,0,0,0,0,39,0,1
7,10,0,6,9,0,6,2,0,1,0,0,37,0,0
8,2,0,4,8,0,7,2,4,1,0,0,24,0,0
9,6,0,23,8,0,9,2,0,1,0,0,39,0,0
10,11,0,10,9,2,3,3,0,1,0,0,39,0,0
11,18,1,2,13,0,4,2,0,1,0,0,49,0,1
12,28,0,11,9,0,8,2,4,1,2,43,59,0,0
13,6,1,4,12,0,9,2,0,1,0,0,27,0,0
14,25,0,9,7,2,7,3,0,1,0,0,69,0,0
15,33,0,12,8,0,1,2,0,1,0,0,39,0,0
16,17,0,8,9,0,3,2,0,1,15,0,64,0,1
17,19,0,21,8,0,1,2,0,1,0,39,44,0,1
18,6,0,2,12,0,4,4,0,1,0,0,19,0,0
19,20,0,10,8,2,7,3,0,1,0,0,54,20,0
20,49,4,9,8,1,10,5,0,1,0,0,49,0,0
21,1,0,29,11,2,4,1,0,0,0,0,29,0,0
22,15,0,24,10,2,8,4,0,1,0,0,44,0,0
23,7,0,18,8,2,2,1,0,0,0,0,35,0,0
24,11,0,13,8,0,1,2,0,1,0,0,49,17,1
25,12,0,4,8,2,9,1,4,1,0,0,59,0,0
26,29,0,23,8,2,6,5,4,1,0,0,39,0,0
27,7,0,4,6,1,8,3,1,0,0,0,24,0,0
28,13,0,11,8,0,10,2,0,1,4,0,59,0,0
29,4,0,6,12,0,5,2,0,1,0,0,39,0,0
30,4,8,14,8,2,14,1,0,0,0,0,31,0,0
31,25,0,17,9,0,8,2,0,1,0,0,39,0,1
32,28,0,2,9,0,4,2,3,1,3,0,39,0,1
33,35,8,2,8,2,14,3,0,0,0,0,37,0,0
34,12,0,7,12,0,1,2,4,1,0,0,39,0,0
35,33,0,9,9,0,6,2,0,1,0,0,39,0,1
36,39,8,12,4,0,14,2,0,1,0,0,29,0,0
37,36,3,20,12,0,4,2,0,1,0,0,43,0,1
38,25,2,14,12,2,5,3,0,1,0,0,39,0,0
39,29,5,14,11,0,5,2,0,1,0,0,39,0,1
40,13,8,7,8,4,14,3,0,0,0,0,49,0,0
41,37,4,1,15,0,5,0,0,0,0,0,54,0,1
42,23,5,12,9,2,8,1,0,0,0,0,49,0,0
43,44,5,9,12,1,8,3,0,0,0,0,36,0,0
44,29,0,6,14,0,5,2,0,1,0,0,39,0,1
45,23,0,10,8,0,4,2,0,1,0,0,49,0,1
46,4,0,10,9,0,7,2,0,1,0,0,39,0,0
47,11,5,2,12,1,4,3,0,1,0,0,49,0,0
48,60,4,3,8,1,12,1,4,1,0,0,39,0,0
49,21,0,9,10,0,1,2,0,1,0,0,44,0,1
50,15,4,2,12,0,5,0,0,0,0,0,29,0,0
51,24,3,12,8,2,4,3,0,1,0,0,39,0,1
52,8,0,11,12,0,5,2,0,1,0,0,59,0,0
53,5,0,9,8,2,7,3,4,0,0,0,34,0,0
54,2,0,4,8,2,8,1,0,0,0,0,64,24,0
55,3,0,16,3,3,1,3,4,1,0,40,39,3,0
56,7,0,14,6,2,6,3,4,0,0,0,3,0,0
57,22,0,5,1,0,2,2,0,1,0,0,59,0,1
58,13,0,29,6,1,7,5,4,0,0,0,19,37,0
59,26,2,8,13,0,4,2,0,1,0,0,39,0,1
60,35,3,13,8,4,8,5,4,0,0,0,24,0,0
61,23,0,26,12,0,4,2,0,1,7,0,39,0,1
