,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
0,35,0,13,8,0,7,2,0,1,0,0,39,0,1
1,26,0,18,9,0,3,2,0,1,0,0,39,0,1
2,44,0,14,11,2,0,3,4,0,0,0,39,0,0
3,15,0,14,12,2,4,3,0,0,0,0,39,0,0
4,10,0,9,6,2,7,4,0,1,0,0,54,0,0
5,13,0,15,12,1,0,3,0,0,0,0,49,0,0
6,32,0,5,9,0,1,2,0,1,0,0,39,0,0
7,36,0,7,8,0,3,2,0,1,83,0,49,0,1
8,71,4,12,15,0,12,2,0,1,0,0,47,0,1
9,37,4,7,8,0,4,2,4,1,0,0,70,0,1
10,15,0,10,9,1,2,3,1,1,0,0,39,20,0
11,30,0,10,9,2,7,4,0,1,0,0,39,0,0
12,13,0,10,12,2,4,1,0,0,0,0,39,0,0
13,10,0,53,6,2,2,3,0,1,0,0,39,0,0
14,22,0,18,9,0,4,2,0,1,0,0,39,0,1
15,2,0,7,9,0,4,2,0,1,7,94,54,0,1
16,50,0,12,8,2,7,3,4,0,6,62,23,0,1
17,32,4,68,13,0,5,2,0,1,0,0,39,0,1
18,27,0,11,9,2,5,3,0,0,0,0,31,0,0
19,24,0,7,8,0,3,2,0,1,0,0,39,0,1
20,16,0,11,10,1,7,5,0,1,0,0,39,0,0
21,7,5,53,8,1,2,3,4,1,0,0,59,0,0
22,34,1,14,9,0,12,2,0,1,0,0,39,0,0
23,6,0,7,12,2,8,5,4,1,0,0,49,0,0
24,25,0,16,9,0,2,2,0,1,0,0,49,0,0
25,11,0,20,9,2,2,3,2,1,0,0,49,23,0
26,22,1,61,8,0,1,2,0,1,0,0,39,0,0
27,3,0,14,9,0,12,2,0,1,38,0,39,0,0
28,18,0,10,12,0,3,2,0,1,79,0,41,20,0
29,32,0,12,8,2,7,3,0,0,0,0,52,41,0
30,4,0,5,12,2,5,1,0,1,2,0,39,0,0
31,26,0,2,8,1,0,3,0,1,0,0,39,20,0
32,57,5,14,3,0,10,2,0,1,0,67,39,0,1
33,46,8,11,11,2,14,1,0,1,0,0,59,0,0
34,15,0,17,8,2,8,1,0,0,0,0,39,0,0
35,46,0,17,8,1,6,1,0,1,0,0,29,0,0
36,17,0,17,12,2,0,1,0,1,0,0,49,0,0
37,6,0,14,12,1,8,3,0,0,0,0,97,0,0
38,30,4,4,12,0,0,2,0,1,0,0,49,0,1
39,9,0,9,12,0,4,2,0,1,0,0,39,0,0
40,1,0,2,8,0,2,2,0,1,0,0,61,0,0
41,17,0,10,8,1,4,3,0,0,0,0,39,0,0
42,42,1,14,2,0,9,2,0,1,0,0,39,0,0
43,2,4,6,9,2,2,1,0,1,0,0,39,0,0
44,36,0,17,15,0,5,2,0,1,0,0,49,0,1
45,3,0,11,9,2,2,1,0,0,0,0,39,0,0
46,4,8,1,8,4,14,3,4,0,0,84,7,0,0
47,7,1,9,9,0,7,2,0,1,0,0,39,0,0
48,15,0,12,8,2,3,1,4,0,0,0,34,0,0
49,30,0,9,12,0,5,2,0,1,0,0,47,0,0
50,3,1,8,2,0,9,2,0,1,0,0,39,0,0
51,24,3,7,8,2,8,3,0,0,0,0,29,0,0
52,1,0,11,8,0,3,2,0,1,0,0,39,0,0
53,35,4,23,12,0,8,0,4,0,0,0,39,0,0
54,57,0,16,12,2,3,3,3,1,0,0,49,14,1
55,71,0,15,8,3,8,3,3,1,0,0,59,14,1
56,6,8,5,4,0,6,2,0,1,0,0,29,0,0
57,22,0,6,9,0,4,2,0,1,0,0,39,0,1
58,18,0,77,8,4,12,5,0,0,0,85,55,0,1
59,7,0,24,8,1,1,3,0,0,0,0,39,0,0
60,14,8,21,8,2,14,1,0,1,0,0,39,0,0
61,16,0,8,12,0,3,2,0,1,0,0,30,0,0
62,30,0,22,9,0,8,2,0,1,0,0,39,0,1
63,27,1,0,8,0,8,2,0,1,0,0,39,0,0
64,27,0,11,8,1,7,3,0,0,0,0,34,0,0
65,77,0,10,4,0,7,2,0,1,0,0,61,0,0
66,24,0,7,8,0,10,2,0,1,0,0,39,0,0
67,12,0,11,8,0,7,2,4,1,0,0,41,0,0
68,20,4,42,8,0,10,2,4,1,0,94,34,0,1
69,36,1,6,8,0,6,2,4,1,0,0,39,0,1
70,8,0,10,6,4,7,5,0,0,0,0,39,0,0
71,20,0,1,4,0,6,2,0,1,0,0,39,0,0
72,19,0,18,12,2,8,1,0,0,0,0,24,0,0
73,8,0,16,12,4,2,3,0,0,0,0,49,0,0
74,35,0,12,8,0,1,2,3,1,86,82,39,37,1
75,6,0,12,8,0,7,2,0,1,0,0,39,0,0
76,19,4,2,6,2,2,1,0,0,0,0,44,0,0
77,38,0,99,9,0,3,2,0,1,0,0,39,0,1
78,23,0,11,9,2,7,1,0,1,0,0,38,0,0
79,7,0,16,12,2,4,3,0,1,0,0,39,0,0
80,42,0,4,12,0,5,2,0,1,0,0,39,0,0
81,80,2,9,13,0,4,2,0,1,7,0,39,0,1
82,4,8,7,8,0,14,2,0,1,0,0,38,0,0
83,32,0,14,8,0,7,2,0,1,0,0,39,0,0
84,26,0,7,9,2,2,1,0,0,0,0,39,0,0
85,15,0,4,9,1,2,3,0,0,0,0,16,0,0
86,14,0,61,14,0,5,2,0,1,0,0,39,0,1
87,30,0,9,12,0,3,2,0,1,0,0,3,0,1
88,10,7,10,10,1,0,5,2,0,0,0,37,23,0
89,36,0,10,9,2,2,3,0,1,0,0,44,0,0
90,14,0,20,9,2,3,3,4,0,0,0,39,0,0
91,21,4,24,15,2,5,3,0,1,0,0,39,0,0
92,13,2,19,9,2,12,3,0,1,0,0,39,0,0
93,11,1,9,8,0,1,2,0,1,0,33,34,0,0
94,9,1,24,8,0,9,2,0,1,0,0,44,0,0
95,40,0,11,9,0,4,2,0,1,0,0,44,0,0
96,22,0,8,8,0,8,0,4,0,0,0,76,20,1
97,53,4,11,12,0,5,2,0,1,0,0,71,0,1
98,15,0,13,8,3,2,3,0,0,0,0,39,0,0
99,26,1,9,8,2,3,3,0,1,0,0,44,0,1
100,38,3,14,9,1,8,5,4,0,0,0,39,0,0
101,16,0,12,13,2,5,3,0,1,0,0,49,0,0
102,11,1,1,8,5,2,3,0,1,0,0,59,0,0
103,37,0,4,8,2,6,1,0,1,0,0,49,0,0
104,28,0,9,9,2,1,3,0,1,0,0,39,29,0
105,5,1,8,7,0,3,2,0,1,0,0,49,0,0
106,42,0,15,12,0,2,2,0,1,0,0,39,0,0
