,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
0,6,0,2,9,0,3,2,0,1,0,0,49,0,0
1,44,0,12,9,1,8,5,0,0,0,0,39,0,0
2,11,0,1,9,0,1,2,4,1,0,0,39,0,0
3,8,4,21,12,1,5,5,0,0,0,0,39,0,0
4,23,0,15,12,0,5,2,0,1,0,0,49,0,1
5,8,0,2,5,2,4,5,0,1,0,0,39,0,0
6,2,8,2,3,2,6,1,1,1,0,0,27,20,0
7,15,0,10,8,1,8,5,0,0,0,0,89,0,0
8,30,0,27,5,2,1,1,0,1,0,0,34,0,0
9,17,0,9,9,0,5,2,0,1,0,0,54,0,1
10,26,0,11,13,2,5,3,0,0,0,0,24,0,0
11,33,0,9,8,0,8,2,0,1,0,0,29,0,1
12,36,0,4,9,0,3,2,0,1,0,94,39,0,1
13,23,0,6,12,0,3,2,0,1,0,0,39,0,0
14,6,2,10,12,2,4,3,0,0,0,0,37,0,0
15,17,0,1,9,0,14,2,0,1,0,0,39,0,1
16,34,0,7,13,0,4,2,0,1,24,0,39,0,1
17,7,0,4,8,2,3,1,0,0,0,0,17,0,0
18,20,0,66,12,5,5,3,0,0,0,0,19,0,0
19,12,0,12,12,1,3,5,0,0,0,0,39,0,0
20,11,0,2,7,3,8,5,0,0,0,0,39,0,0
21,22,0,21,9,0,1,2,0,1,0,0,39,0,0
22,2,0,10,12,0,5,2,0,1,0,0,13,0,0
23,6,0,9,9,2,4,3,4,0,0,0,29,0,0
24,20,0,6,12,3,5,4,0,1,0,0,49,0,0
25,14,0,7,4,0,7,2,0,1,0,0,39,0,0
26,12,0,17,13,2,3,5,0,1,0,0,39,0,0
27,30,2,75,12,0,3,2,0,1,0,67,39,0,1
28,65,0,9,5,0,1,2,0,1,0,0,39,0,0
29,21,8,13,11,2,14,1,3,0,0,0,34,22,0
30,27,0,5,8,0,3,2,0,1,0,0,59,0,1
31,19,2,4,9,0,3,2,1,1,0,0,39,39,1
32,8,0,5,9,2,3,3,0,1,0,0,11,21,0
33,37,0,10,8,2,2,1,0,0,0,0,17,0,0
34,29,0,10,9,0,4,2,0,1,0,0,49,0,1
35,51,0,12,8,0,1,2,0,1,0,0,39,0,1
36,1,4,13,7,0,2,0,0,0,0,0,39,12,0
37,33,0,34,9,4,4,5,0,0,6,0,72,0,1
38,8,0,73,12,0,4,0,0,0,0,0,20,0,0
39,83,1,6,9,0,4,2,0,1,0,0,37,0,1
40,7,0,12,8,1,2,3,0,0,0,0,39,0,0
41,36,1,3,9,0,3,2,0,1,0,0,39,0,0
42,5,0,3,3,2,2,3,0,0,0,0,39,0,0
43,17,1,8,15,0,9,2,0,1,0,0,43,2,0
44,29,0,27,8,1,6,3,0,1,0,0,39,0,0
45,43,0,15,8,2,7,1,0,0,0,0,39,0,0
46,29,3,7,9,0,4,2,0,1,0,0,3,0,1
47,19,0,12,8,0,1,2,0,1,0,0,39,0,1
48,15,0,18,6,1,3,5,0,0,0,0,39,0,0
49,3,0,9,12,0,1,2,0,1,0,0,11,0,0
50,47,1,11,12,0,9,2,0,1,0,0,49,0,0
51,20,0,3,9,0,10,2,0,1,0,0,59,0,0
52,28,0,10,8,0,4,2,0,1,0,0,39,0,1
53,1,0,27,13,0,5,2,0,1,0,0,34,0,0
54,12,4,12,9,0,4,2,0,1,0,0,39,0,0
55,28,5,3,9,0,14,2,0,1,0,0,39,0,0
56,16,0,9,12,2,3,1,0,0,0,0,39,0,0
57,11,0,14,9,2,8,4,1,0,0,0,23,0,0
58,26,1,11,6,1,1,3,0,1,0,0,39,0,0
59,18,0,7,8,0,3,2,0,1,0,0,39,0,0
60,28,0,14,9,1,8,5,4,0,0,0,29,0,0
61,42,0,7,9,2,2,1,0,1,0,0,39,0,0
62,15,0,9,15,2,3,3,0,0,0,0,44,0,0
63,39,0,3,9,1,4,1,0,0,73,0,17,0,0
64,31,0,11,13,0,5,2,0,1,0,0,59,0,1
65,10,4,0,6,2,7,3,0,0,0,0,39,0,0
66,52,0,8,6,0,7,0,0,0,0,0,31,0,0
67,36,0,6,8,2,4,3,0,0,0,0,23,0,0
68,7,0,24,2,4,7,3,0,0,0,0,4,0,0
69,10,0,7,8,4,3,1,0,1,0,0,29,0,0
70,36,0,14,8,0,6,2,0,1,0,0,39,0,0
71,21,8,15,9,2,14,1,0,1,0,0,47,0,0
72,20,0,16,4,0,1,2,0,1,0,0,64,0,0
73,18,0,13,4,2,6,1,0,1,0,0,39,0,0
74,19,4,2,14,1,5,5,0,0,0,0,52,0,0
75,34,1,9,9,0,5,2,0,1,0,0,59,0,1
76,17,0,15,0,2,0,4,1,1,0,0,44,15,0
77,25,0,10,9,0,3,2,0,1,15,0,39,0,1
78,48,0,6,8,0,7,2,0,1,0,0,39,0,0
79,17,0,7,9,0,2,2,0,1,0,0,39,0,0
80,49,0,10,8,0,4,2,0,1,0,0,49,0,1
81,7,4,5,9,1,4,3,0,0,0,0,34,0,0
82,31,4,16,9,1,5,3,0,1,0,0,39,0,1
83,32,4,11,13,5,5,5,0,0,0,0,41,0,0
84,25,0,10,10,1,1,5,4,1,7,0,44,3,1
85,26,8,4,9,2,14,1,1,0,0,0,30,10,0
86,58,2,77,11,2,3,2,0,0,4,62,64,0,1
87,31,1,1,14,0,5,2,3,1,0,0,39,37,1
88,57,0,19,8,0,1,2,3,1,0,0,5,14,1
89,20,5,6,9,0,5,2,0,1,90,0,97,0,1
90,18,0,8,8,2,9,1,0,0,0,0,30,0,0
91,46,0,12,8,1,2,3,0,0,0,0,34,0,0
92,57,0,16,9,0,3,2,0,1,0,0,39,0,1
93,29,0,9,9,1,1,5,0,0,0,0,49,0,0
94,8,0,14,8,0,8,2,0,1,0,0,39,0,0
95,34,1,10,9,0,2,2,0,1,0,44,39,0,1
96,41,0,5,0,0,4,2,0,1,0,0,49,0,0
97,2,0,14,8,1,8,5,4,0,0,0,39,0,0
98,28,0,14,8,2,2,1,0,1,0,0,39,0,0
99,36,6,8,7,3,13,5,3,0,0,0,19,0,0
100,11,3,4,9,2,8,3,0,0,0,0,39,0,0
101,2,5,7,13,2,5,4,0,0,0,0,39,0,0
102,43,0,99,8,0,5,2,0,1,0,0,49,0,1
103,60,7,87,5,1,13,3,4,0,6,0,72,3,1
104,19,0,10,7,2,3,3,4,0,0,0,39,0,0
105,10,2,10,12,2,3,1,0,1,0,0,39,0,0
106,40,0,13,9,2,7,1,0,1,0,0,39,0,0
107,10,0,11,9,2,2,3,0,1,0,0,39,0,0
108,38,0,12,15,2,5,5,0,1,0,0,24,0,0
109,20,4,10,8,0,10,2,0,1,0,0,49,0,1
110,29,0,16,12,0,4,2,0,1,0,0,54,0,1
111,13,0,14,4,2,2,4,1,1,0,55,59,20,0
112,6,0,30,8,0,3,2,4,1,0,0,49,0,0
113,18,0,8,6,1,7,3,0,1,0,0,24,0,0
114,30,4,22,9,0,1,2,0,1,0,0,39,41,1
115,24,0,12,5,0,1,2,0,1,0,0,14,0,1
116,34,0,9,12,1,2,5,0,0,0,0,7,0,0
117,23,0,10,10,0,0,2,0,1,0,0,47,0,0
118,21,0,8,9,2,8,1,0,0,0,0,39,0,0
119,15,0,1,8,0,1,2,0,1,0,0,15,20,0
120,12,0,7,9,2,8,1,0,0,0,0,31,0,0
121,25,0,7,13,3,1,3,0,1,0,0,47,0,0
122,34,0,11,8,0,7,2,0,1,0,0,34,0,0
123,50,2,11,11,0,0,2,0,1,0,0,34,0,0
124,31,0,12,9,1,8,5,0,1,0,0,39,0,0
125,10,0,11,8,0,5,2,0,1,0,0,22,0,0
126,24,7,15,8,2,0,3,4,1,0,0,39,0,0
127,3,0,1,9,1,3,5,0,0,0,0,29,0,0
128,24,0,8,14,0,8,0,0,0,0,0,81,0,0
129,44,5,1,2,2,5,3,0,0,0,0,49,0,0
130,20,0,2,5,0,10,2,0,1,0,0,39,0,0
131,35,4,6,8,0,12,2,0,1,0,0,47,0,1
132,26,0,0,8,0,1,2,0,1,0,0,3,0,1
133,41,1,4,8,0,9,2,0,1,0,0,69,0,0
134,74,0,23,8,2,1,1,0,1,0,0,49,0,0
135,30,0,4,8,4,2,3,0,0,0,0,81,0,0
136,33,0,2,12,0,3,2,0,1,0,0,39,0,1
137,29,3,11,9,0,8,2,0,1,0,0,39,0,0
138,7,0,15,8,0,7,0,0,0,0,0,19,0,0
139,28,0,11,0,0,2,2,0,1,24,0,39,0,1
140,46,0,12,9,4,8,5,1,0,0,0,29,10,0
141,57,0,42,9,0,3,2,4,1,0,0,14,0,1
142,42,0,57,0,2,2,4,0,1,0,0,39,0,0
143,30,0,8,13,0,4,2,0,1,0,38,39,0,1
144,6,0,23,8,2,2,5,0,1,0,0,39,0,0
145,43,0,28,12,0,4,2,0,1,0,0,64,0,1
146,15,0,5,10,0,1,2,0,1,0,0,49,0,1
147,23,4,29,8,0,12,2,0,1,7,0,49,0,1
148,27,1,53,9,0,1,2,0,1,0,0,49,0,0
149,27,5,19,12,0,8,2,0,1,0,0,39,0,0
150,6,0,60,9,0,4,0,0,0,0,0,27,0,1
151,34,0,5,8,0,10,2,0,1,0,0,29,0,0
152,13,0,12,12,2,1,1,0,1,0,0,80,0,0
153,35,4,75,9,0,1,2,0,1,0,0,44,0,1
154,33,4,13,14,0,5,0,0,0,6,0,39,0,1
155,22,0,15,8,2,6,1,0,1,0,0,39,0,0
156,5,0,14,10,1,0,3,0,1,0,0,39,0,0
157,6,0,12,13,0,5,0,0,0,2,0,72,0,1
158,20,4,14,2,0,11,0,4,0,0,0,39,0,0
159,21,0,9,4,0,1,2,0,1,0,0,49,0,0
160,78,0,6,8,2,8,3,0,0,69,0,19,0,0
161,14,0,1,7,2,3,1,4,1,0,0,39,0,0
162,15,5,24,2,0,12,2,0,1,0,0,49,0,1
163,12,0,11,12,0,4,2,0,1,0,0,49,0,0
164,36,2,8,9,0,4,2,0,1,0,96,34,0,1
165,16,0,13,12,0,4,2,0,1,0,0,59,0,1
166,11,0,13,8,0,4,2,2,1,0,15,39,28,0
167,41,0,26,8,1,2,3,1,0,0,0,27,15,0
168,63,1,6,8,2,1,5,0,1,0,0,39,0,0
169,5,0,16,10,2,9,1,1,1,0,0,39,10,0
170,57,0,2,9,0,4,2,0,1,0,0,47,0,1
171,8,1,8,4,0,9,2,0,1,0,0,44,0,0
172,36,1,2,9,2,3,1,0,1,79,0,39,0,0
173,16,0,0,9,2,3,4,0,1,0,0,34,20,0
174,40,6,16,8,1,10,5,0,1,0,0,34,0,0
175,17,0,5,15,2,1,1,0,1,79,0,36,2,0
176,14,0,21,8,2,4,5,4,1,0,0,39,0,0
177,20,0,3,9,0,4,2,0,1,0,0,39,0,0
178,20,0,50,8,2,2,3,0,0,0,0,39,0,0
179,23,1,66,12,2,4,5,0,0,0,0,29,0,0
180,32,0,60,8,5,11,5,4,0,65,0,39,3,1
181,1,0,10,9,0,9,2,0,1,0,0,39,20,0
182,27,0,11,12,2,3,1,1,1,0,0,39,10,0
183,23,0,7,5,3,5,5,0,1,0,0,37,0,1
184,11,8,1,8,0,14,2,0,1,0,0,34,0,0
185,69,6,85,8,0,9,0,4,0,0,0,44,0,1
186,6,0,7,8,2,8,1,0,0,0,0,39,0,0
187,9,5,2,9,3,2,5,4,0,0,0,39,0,0
188,2,1,9,8,0,9,2,0,1,0,0,34,0,0
189,5,0,7,9,2,12,1,0,1,0,0,39,0,0
190,32,0,13,12,0,3,2,0,1,0,0,39,0,1
191,32,0,17,12,0,4,0,0,0,0,0,57,0,1
192,25,0,24,9,2,2,1,0,1,0,0,39,0,0
193,27,0,9,8,0,7,2,0,1,7,0,34,0,1
