,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
0,25,0,10,11,0,10,2,4,1,0,0,34,0,0
1,10,1,10,9,1,1,5,0,0,0,0,49,0,0
2,83,1,7,9,0,4,2,3,1,0,0,49,14,1
3,13,0,11,15,2,5,1,0,1,0,0,59,0,0
4,15,0,12,10,2,4,3,0,1,0,0,39,0,0
5,80,0,6,8,0,7,2,0,1,7,0,44,0,1
6,13,0,61,13,0,5,2,0,1,15,0,49,0,1
7,3,0,8,9,1,1,3,0,0,0,0,37,0,0
8,24,0,11,9,0,3,2,0,1,0,0,5,0,0
9,2,4,1,9,2,2,3,0,0,0,0,98,0,0
10,29,0,10,9,2,2,1,0,0,0,0,29,0,0
11,39,0,20,13,0,5,2,0,1,0,0,49,0,1
12,58,0,9,9,1,1,5,0,0,0,0,14,0,0
13,32,1,12,3,0,10,2,0,1,0,0,41,0,0
14,37,8,13,11,0,14,2,0,1,0,0,39,36,0
15,21,2,12,12,0,5,2,0,1,0,36,39,0,1
16,20,0,6,5,0,9,2,0,1,0,0,47,0,0
17,26,0,10,7,0,3,2,0,1,48,43,39,0,1
18,4,2,13,13,0,4,2,0,1,0,0,39,0,0
19,60,0,7,8,0,1,2,0,1,0,0,39,0,0
20,29,0,1,5,0,1,2,0,1,0,0,59,0,1
21,6,0,6,5,2,7,1,0,0,0,0,34,0,0
22,6,0,8,9,1,1,3,0,0,0,0,47,0,0
23,5,0,4,9,2,3,3,0,0,0,0,34,0,0
24,12,5,21,9,4,14,5,4,0,0,0,39,0,0
25,31,4,12,14,2,5,1,0,0,0,0,24,0,0
26,25,0,7,12,4,8,5,0,0,0,0,87,0,0
27,21,0,15,9,0,4,2,0,1,0,0,44,0,1
28,37,0,12,12,2,8,5,0,0,0,0,29,0,0
29,17,4,22,8,1,3,3,0,1,0,0,39,0,0
30,35,0,4,8,0,1,2,4,1,0,0,39,0,0
31,9,8,84,2,2,14,3,0,1,0,0,38,0,0
32,8,8,18,6,0,14,2,0,1,0,0,39,0,0
33,77,6,13,8,1,10,5,3,1,0,0,59,15,0
34,3,0,14,12,2,3,1,0,0,0,0,19,0,0
35,15,1,1,5,1,2,3,0,0,0,0,39,0,0
36,71,3,6,12,0,4,2,0,1,0,0,54,0,1
37,31,4,10,14,2,4,4,2,0,0,0,39,23,0
38,22,0,1,8,2,8,3,0,0,0,0,34,0,0
39,36,0,75,9,0,5,2,0,1,0,0,70,0,1
40,21,0,6,12,0,5,2,0,1,0,0,39,0,1
41,10,8,13,14,2,14,3,3,1,0,0,39,29,0
42,39,0,24,9,2,8,1,0,0,0,0,23,0,0
43,46,0,10,13,0,4,2,4,1,24,0,54,0,1
44,28,0,20,8,0,8,0,0,0,6,0,39,0,1
45,23,0,9,13,0,4,2,0,1,0,0,59,0,1
46,27,0,8,8,1,2,5,4,1,0,0,39,0,0
47,7,0,10,8,0,9,2,0,1,0,0,66,0,0
48,28,1,60,13,4,6,4,3,0,0,36,43,14,1
49,36,0,1,11,0,10,2,0,1,0,0,59,0,0
50,19,0,14,15,2,1,3,0,1,0,0,49,0,0
51,33,2,11,9,0,5,0,0,0,4,0,59,0,1
52,21,0,11,11,0,9,0,0,0,0,0,39,0,0
53,10,0,16,12,0,7,2,0,1,0,0,39,0,0
54,11,0,13,8,3,2,1,0,0,0,0,39,0,0
55,29,0,16,7,0,1,2,0,1,0,0,39,0,0
56,2,0,13,8,0,10,2,0,1,0,0,69,0,0
57,30,8,1,15,0,14,2,4,1,7,0,23,0,1
58,3,0,16,11,2,6,1,0,1,0,0,39,0,0
59,5,0,1,8,0,1,2,0,1,0,0,72,0,0
60,8,0,21,10,1,1,3,4,1,0,0,39,0,0
61,18,0,3,11,0,4,2,0,1,0,0,59,0,1
62,50,1,21,8,1,4,0,0,1,0,0,19,0,0
63,17,0,12,9,0,5,0,0,0,0,0,29,0,0
64,32,0,10,15,0,1,2,0,1,0,0,49,0,0
65,28,0,11,9,3,6,3,4,1,0,0,39,0,0
66,3,4,2,9,5,5,1,0,0,0,0,39,0,0
67,27,5,10,5,0,4,2,0,1,0,0,49,0,1
68,34,0,13,6,2,2,1,0,1,0,0,39,0,0
69,10,1,10,5,2,10,1,0,0,0,0,39,29,0
70,3,7,5,8,0,12,2,0,1,0,0,37,0,0
71,5,0,5,8,1,0,5,1,0,0,0,20,10,0
72,7,0,8,8,2,3,1,4,0,0,0,49,0,0
73,24,0,77,12,2,2,5,0,0,0,0,31,0,0
74,4,0,10,6,0,6,2,0,1,0,0,22,0,0
75,13,0,4,8,1,0,3,0,0,0,0,39,0,0
76,33,1,11,15,0,5,0,3,0,0,0,39,14,1
77,46,0,13,5,0,6,0,0,0,0,0,39,20,0
78,28,0,12,8,1,0,3,0,0,0,0,39,0,0
79,25,4,0,6,0,1,2,0,1,0,0,4,0,1
80,27,0,20,8,2,0,3,0,1,0,0,38,0,0
81,13,0,13,3,0,1,2,0,1,0,0,39,0,0
82,16,1,17,8,1,2,3,0,1,0,0,39,0,0
83,1,0,13,12,0,8,2,0,1,0,0,44,0,0
84,33,2,6,9,0,3,2,0,1,15,0,45,0,1
85,12,0,58,8,3,8,5,0,0,0,0,39,0,0
86,17,0,16,9,2,6,1,4,1,0,0,59,0,0
87,50,0,20,12,0,5,0,0,0,0,0,45,0,1
88,5,8,14,8,3,14,5,0,0,0,0,39,0,0
89,22,2,0,14,0,4,2,0,1,0,0,39,0,1
90,25,0,4,12,0,3,2,0,1,0,0,39,0,1
91,21,0,13,9,2,10,1,0,1,95,0,39,0,0
92,53,4,18,12,3,5,3,0,1,0,0,39,0,0
93,33,0,11,11,0,4,2,0,1,0,0,39,0,1
94,8,0,13,13,1,8,5,0,0,0,0,47,0,0
95,5,0,14,9,1,3,3,0,1,0,0,39,0,0
96,25,8,78,12,1,14,3,0,1,0,0,49,0,0
97,80,0,13,12,0,4,2,0,1,0,0,54,0,1
98,33,0,14,13,5,11,5,4,0,0,0,27,0,1
99,17,4,85,12,0,4,0,0,0,6,62,59,0,1
100,14,0,20,12,0,4,2,0,1,0,0,39,0,0
101,7,1,1,4,0,9,2,0,1,0,0,43,0,0
102,9,0,8,6,1,7,3,0,0,0,0,97,0,0
103,57,0,7,8,0,4,2,0,1,0,0,44,0,1
104,28,0,13,13,0,5,2,0,1,0,0,39,20,0
105,41,1,21,9,0,3,2,0,1,79,0,49,0,0
106,43,0,10,1,0,10,2,0,1,0,0,59,0,1
107,20,0,4,2,0,1,0,0,0,0,0,34,0,0
108,3,0,14,9,2,6,4,4,1,2,0,44,0,0
109,20,0,23,12,2,3,1,0,0,0,0,39,0,0
110,12,3,14,8,2,8,5,2,1,79,0,69,23,0
111,79,0,17,8,2,1,1,0,1,0,0,19,0,0
112,34,5,2,8,2,4,1,0,1,0,0,39,0,0
113,29,0,6,12,0,5,2,0,1,0,0,15,0,0
114,14,0,13,9,1,8,4,0,1,0,0,29,0,0
115,10,0,19,9,1,2,5,1,0,0,0,39,20,0
116,47,0,5,8,2,3,5,4,1,0,0,39,0,0
117,22,0,5,8,0,1,2,0,1,43,0,44,0,1
118,33,0,1,14,1,0,5,4,1,0,0,49,0,1
119,23,5,23,9,5,10,4,0,1,0,0,39,0,1
120,9,0,49,13,0,3,0,4,0,0,0,55,0,0
121,27,0,19,2,2,2,3,0,0,0,0,29,0,0
122,17,0,7,9,2,2,5,0,1,0,0,11,0,0
123,3,0,10,11,1,8,5,4,0,0,0,39,0,0
124,5,0,10,8,2,2,5,0,1,0,0,29,0,0
125,16,0,21,8,5,6,1,0,0,0,0,29,0,0
126,6,0,6,6,3,3,5,0,1,64,0,54,0,0
127,38,0,12,8,2,8,3,0,1,0,0,49,0,0
128,18,0,15,12,2,2,1,0,0,0,0,13,0,0
129,8,0,16,9,2,3,1,0,1,97,0,39,0,0
130,37,0,11,11,1,8,5,0,0,0,0,49,0,0
131,11,0,12,12,2,5,3,0,1,0,0,39,0,0
132,32,0,14,8,2,4,5,0,1,0,0,49,0,0
133,18,5,16,9,2,4,1,4,0,0,0,39,0,0
134,7,4,12,14,2,5,1,0,0,0,0,34,0,0
135,34,0,7,8,0,1,2,0,1,15,0,64,0,1
136,27,0,18,6,0,1,2,0,1,0,0,39,0,0
137,28,3,12,8,0,4,2,3,1,72,0,49,14,1
138,6,5,12,12,0,5,2,0,1,0,0,79,0,0
139,51,0,15,9,2,4,1,0,1,0,0,34,0,0
140,18,0,9,8,2,2,3,0,1,0,34,47,0,0
141,5,0,20,3,2,6,3,0,0,0,0,12,0,0
142,44,0,2,5,0,5,2,0,1,0,0,39,0,1
143,46,0,17,10,0,8,2,0,1,0,0,39,0,0
144,40,0,20,12,2,3,1,0,1,0,0,39,0,0
145,21,0,13,8,1,1,3,0,1,0,0,39,0,0
146,39,0,19,9,0,10,2,0,1,0,0,19,0,0
147,15,3,14,8,1,6,5,4,0,0,0,39,0,0
148,20,1,12,8,0,1,2,0,1,14,0,39,0,1
149,79,1,12,8,0,3,2,0,1,0,0,39,0,0
150,22,0,20,12,3,6,1,0,0,4,85,27,0,1
151,7,0,11,13,2,6,5,4,1,0,0,39,0,0
152,46,4,11,14,4,5,3,0,0,0,0,39,0,0
153,19,0,9,13,1,5,3,0,1,0,0,39,0,0
154,20,0,15,11,2,8,5,0,0,0,0,29,0,0
155,10,0,15,7,1,8,3,2,0,0,0,19,23,0
156,15,0,15,12,0,5,2,0,1,0,0,49,0,1
157,25,0,2,8,2,8,1,0,0,0,0,39,0,0
158,18,0,13,9,2,3,3,0,1,0,0,49,0,0
159,6,0,6,8,0,10,2,0,1,0,0,13,0,0
160,25,0,14,4,2,0,3,0,1,0,0,39,0,0
161,29,0,12,9,0,9,2,0,1,0,0,39,0,0
162,6,5,13,11,2,4,4,0,0,0,0,37,0,0
163,13,1,12,6,2,2,1,0,0,0,0,39,0,0
164,31,0,1,9,0,6,2,0,1,0,0,14,0,0
165,19,8,8,12,2,14,3,4,0,0,0,39,0,0
166,11,0,8,8,2,2,3,0,1,0,0,44,0,0
167,25,0,75,9,0,4,2,0,1,0,0,54,0,1
168,20,1,21,8,0,9,2,0,1,0,0,49,0,0
169,8,0,78,11,2,3,4,0,1,0,0,44,0,0
170,15,0,12,12,0,4,2,0,1,0,0,39,0,1
171,37,0,40,8,1,4,3,0,1,0,0,39,0,0
172,43,5,10,6,2,2,1,0,0,0,0,39,0,0
173,64,0,7,9,1,3,5,0,0,0,0,44,0,0
174,19,4,11,14,3,5,1,0,1,0,0,55,0,1
175,21,4,53,13,0,5,2,0,1,0,0,39,0,0
176,7,0,11,11,0,3,0,0,0,0,0,39,0,0
177,25,4,5,9,1,2,5,0,0,0,0,29,20,0
178,25,8,3,8,0,14,4,3,0,0,0,31,29,0
179,28,0,27,9,1,10,3,0,1,0,0,2,0,0
180,22,3,3,8,0,6,2,0,1,0,0,39,0,0
181,26,0,7,12,0,4,2,0,1,0,0,39,0,0
182,20,0,14,6,2,7,3,0,0,0,0,19,0,0
183,47,0,5,8,3,2,5,0,0,0,0,39,0,0
184,6,0,97,6,0,10,2,0,1,0,0,69,20,0
185,15,0,8,10,0,10,2,0,1,0,0,49,0,1
186,62,0,13,12,1,1,3,0,1,0,0,39,0,0
187,10,0,12,9,1,2,1,0,1,0,0,39,0,0
188,54,0,5,8,2,5,5,0,0,0,44,39,0,0
189,43,5,18,0,1,0,5,4,1,0,0,49,0,1
190,59,0,4,2,0,7,2,0,1,0,0,23,0,1
191,27,1,19,9,0,3,0,0,0,0,0,34,0,0
192,4,8,8,8,0,14,2,0,1,0,0,41,0,0
193,32,0,78,12,1,4,3,4,1,0,0,24,0,0
194,83,3,7,8,0,8,2,0,1,0,0,70,0,1
195,6,6,16,3,1,10,5,3,1,0,0,39,22,0
196,35,1,19,12,1,4,3,0,1,0,0,39,0,0
197,25,0,6,12,1,3,3,4,0,0,0,34,0,0
198,15,8,7,9,0,14,0,0,0,0,0,69,0,1
199,43,3,60,8,0,4,2,4,1,0,0,39,10,1
200,30,0,15,13,2,4,3,0,1,0,0,27,0,0
201,8,1,6,12,2,9,3,4,1,0,0,39,0,0
202,6,0,11,9,1,3,3,0,1,4,0,39,0,0
203,17,5,23,4,1,14,3,0,1,0,0,64,0,0
204,16,1,24,8,0,12,2,0,1,0,33,39,0,0
205,40,0,21,8,0,6,2,0,1,0,0,5,0,0
206,49,0,14,12,0,3,2,0,1,0,0,39,0,0
207,19,0,22,8,0,1,2,0,1,97,0,39,0,0
208,57,1,1,9,0,4,2,0,1,24,0,59,0,1
209,44,0,11,12,0,4,2,0,1,0,0,39,0,1
210,35,4,11,8,0,5,2,0,1,0,0,39,0,1
211,12,0,20,9,2,3,1,4,1,0,0,39,0,0
212,34,0,12,12,0,5,2,0,1,0,0,70,0,1
213,25,0,8,8,0,3,2,2,1,0,0,83,0,0
214,42,1,9,13,0,5,2,1,1,0,0,39,13,0
215,24,0,3,12,0,4,2,0,1,15,38,49,0,1
216,16,0,16,8,0,1,2,0,1,0,0,39,0,0
217,42,0,7,8,0,1,2,0,1,0,0,39,0,0
218,27,3,9,11,0,8,2,0,1,0,0,39,0,1
219,6,0,18,8,2,8,1,0,0,0,0,34,0,0
220,42,1,4,8,4,9,5,0,1,0,0,44,0,0
221,50,0,2,5,2,2,5,0,1,0,0,59,0,0
222,44,0,12,9,3,6,5,4,0,0,0,39,41,0
223,18,0,12,9,4,3,3,4,0,0,0,39,0,0
224,46,8,8,12,0,12,2,4,1,0,0,59,0,0
225,30,8,7,8,2,14,3,0,0,0,0,39,0,0
226,31,0,60,8,2,8,4,0,0,0,0,39,0,0
227,17,0,11,12,2,5,3,0,0,0,0,39,0,0
228,14,8,27,9,2,14,1,0,1,0,0,80,0,0
229,30,0,12,14,1,5,3,0,1,0,0,4,0,1
230,39,4,20,8,0,1,2,0,1,0,0,49,0,0
231,38,0,11,6,3,7,3,0,1,7,37,39,0,1
232,1,0,6,11,2,8,4,0,0,0,0,13,0,0
233,14,0,1,7,2,10,1,0,1,0,0,39,0,0
234,4,1,9,10,0,3,2,0,1,0,0,39,0,0
235,25,1,3,8,0,12,2,0,1,0,0,39,0,0
236,8,0,13,8,0,1,2,0,1,0,0,39,0,0
237,13,0,14,8,2,7,3,0,1,0,0,39,0,1
