,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
0,7,0,6,12,2,0,3,0,0,0,0,34,0,0
1,27,5,14,12,0,12,2,0,1,0,0,49,0,1
2,16,0,1,12,1,0,3,0,1,0,0,39,0,0
3,29,0,4,9,5,7,5,0,0,0,0,39,0,0
4,37,0,12,9,2,3,1,0,0,0,0,19,0,0
5,22,0,6,10,0,5,2,0,1,0,0,79,0,1
6,14,0,11,9,2,10,3,0,1,0,0,39,0,0
7,9,1,8,9,0,9,1,4,1,0,0,39,0,0
8,14,0,6,9,0,7,2,0,1,0,0,31,0,0
9,2,8,1,6,0,14,2,1,1,0,0,39,41,0
10,26,5,15,8,6,5,2,0,1,0,0,39,0,1
11,1,0,14,3,0,6,2,0,1,0,0,19,0,0
12,49,0,11,8,0,7,2,0,1,0,0,39,0,0
13,15,0,9,12,2,4,3,0,0,0,0,39,0,0
14,19,0,6,10,2,9,3,0,1,0,0,39,36,0
15,32,0,11,12,0,4,2,0,1,0,0,39,28,1
16,34,0,5,8,2,8,3,4,0,0,0,29,0,0
17,27,5,16,8,3,5,3,0,1,0,0,69,0,1
18,24,0,11,12,0,1,2,0,1,0,0,33,0,0
19,11,0,8,9,0,1,2,4,1,0,0,59,0,1
20,3,2,4,8,2,4,5,0,1,0,0,39,0,0
21,42,0,11,9,4,7,3,0,0,0,0,24,0,0
22,22,0,13,12,0,4,2,0,1,20,0,39,0,1
23,17,0,4,9,4,4,3,0,0,0,0,14,0,0
24,2,0,7,13,1,5,3,0,0,0,0,15,0,0
25,22,5,14,12,0,5,2,0,1,0,31,59,0,1
26,12,0,10,10,1,5,3,0,1,0,0,15,0,0
27,26,0,12,8,0,4,2,0,1,0,0,49,0,0
28,48,4,10,12,4,8,5,0,0,0,0,39,0,0
29,14,4,3,11,0,8,2,4,1,0,0,59,0,1
30,22,0,10,8,0,2,2,0,1,0,0,41,0,1
31,21,0,13,9,2,3,1,0,0,0,0,39,0,0
32,10,5,8,8,0,12,2,0,1,0,0,39,0,1
33,29,0,14,13,5,1,3,0,1,0,0,49,0,0
34,22,0,11,8,2,10,3,0,1,0,0,49,0,0
35,29,0,1,8,1,1,3,0,1,10,0,59,0,1
36,45,2,16,13,0,5,2,0,1,0,0,39,0,1
37,14,0,9,9,4,6,5,0,0,0,0,39,0,0
38,45,0,23,8,0,8,2,0,1,0,0,39,0,1
39,25,2,28,6,1,2,3,0,1,0,0,39,0,0
40,21,0,11,0,5,6,4,4,1,0,0,64,0,0
41,9,0,10,12,0,8,2,0,1,0,0,34,0,0
42,16,5,15,8,2,4,3,0,0,0,0,39,0,0
43,5,0,20,9,2,8,1,0,0,0,0,29,0,0
44,30,0,1,13,0,5,2,0,1,3,0,39,0,1
45,23,0,7,9,2,8,1,0,1,0,0,39,0,0
46,6,4,12,8,2,8,1,1,1,0,0,39,41,0
47,14,8,11,9,2,14,1,0,0,0,0,39,0,0
48,9,0,7,9,2,3,1,0,1,0,0,49,0,0
49,9,8,8,9,0,14,2,0,1,0,0,39,0,0
50,49,0,10,9,4,8,5,4,0,0,0,39,0,0
51,16,0,11,8,0,10,2,4,1,0,0,54,0,0
52,9,0,0,6,6,4,0,1,0,0,0,34,39,1
53,32,2,8,9,0,4,2,0,1,0,0,67,0,1
54,22,0,11,8,0,10,2,0,1,0,0,39,0,0
55,42,4,6,10,0,5,2,0,1,0,0,39,0,1
56,47,0,10,8,1,1,3,0,1,0,0,9,0,0
57,34,0,12,8,2,6,1,0,1,0,0,41,0,0
58,6,0,7,9,2,3,1,0,0,0,0,83,0,0
59,14,3,25,9,2,8,1,0,0,0,39,39,0,0
60,8,0,6,10,2,4,5,0,0,0,0,39,0,0
61,4,0,12,12,0,10,2,0,1,0,0,16,0,0
62,20,0,9,8,1,11,3,0,0,0,0,39,0,0
63,34,0,2,8,0,1,2,0,1,0,0,39,0,1
64,5,0,7,5,0,6,2,0,1,0,0,59,0,0
65,14,0,19,6,2,5,3,0,1,0,0,44,0,1
66,16,0,22,12,0,4,2,0,1,0,0,49,0,0
67,34,0,8,8,1,8,3,0,0,0,0,39,0,1
68,40,0,15,9,0,8,2,0,1,0,0,39,0,1
69,30,1,26,6,0,4,2,0,1,0,0,37,0,0
70,6,0,11,8,1,4,5,0,0,0,0,59,0,0
71,30,0,11,12,2,3,1,4,0,0,0,5,0,0
72,15,0,10,8,1,8,1,0,0,3,0,29,0,0
73,8,2,7,9,0,3,2,0,1,0,0,19,0,0
74,21,0,6,9,2,3,1,0,0,0,0,49,0,0
75,42,0,29,15,0,5,2,0,1,0,0,49,0,1
76,25,0,7,4,0,4,2,0,1,0,0,39,0,1
77,23,0,11,8,2,8,5,0,0,0,0,39,0,0
78,27,0,4,8,0,10,2,0,1,6,0,39,0,1
79,3,0,20,8,5,3,3,0,0,0,0,39,8,0
80,18,0,6,13,0,8,0,0,0,0,0,39,0,1
81,36,0,2,10,0,4,2,0,1,15,0,59,0,1
82,29,0,29,9,2,8,5,0,0,0,0,39,0,0
83,13,0,10,8,1,2,1,0,0,0,0,29,0,0
84,6,0,6,4,3,6,3,0,1,0,0,24,0,0
85,31,4,12,9,0,9,2,0,1,0,0,39,0,0
86,9,2,10,8,3,1,3,0,1,0,0,39,0,0
87,19,1,4,8,5,9,4,0,1,0,0,49,0,0
88,21,0,9,8,0,3,2,4,1,13,0,44,0,1
89,3,0,5,8,0,4,2,1,1,0,0,54,0,0
