,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
0,15,0,10,8,2,0,3,0,0,0,0,39,0,0
1,24,5,12,13,1,4,5,1,0,65,0,39,5,0
2,3,0,11,12,1,8,5,0,0,0,0,39,0,0
3,12,1,12,15,0,4,2,0,1,0,0,69,0,0
4,34,8,1,9,0,14,2,0,1,0,46,59,0,0
5,79,2,6,13,2,4,1,0,1,0,0,39,0,0
6,13,2,66,9,0,5,2,0,1,15,0,47,0,1
7,48,0,78,4,2,7,1,0,1,0,0,66,0,0
8,35,8,12,11,0,14,2,0,1,0,94,54,9,1
9,16,0,14,2,0,7,2,0,1,0,0,31,2,0
10,16,0,14,4,2,2,3,0,0,0,0,39,0,0
11,12,0,1,12,0,3,0,0,0,0,36,36,0,0
12,19,4,24,14,3,0,3,0,1,0,0,4,0,1
13,24,0,2,12,2,8,1,0,0,3,0,39,0,0
14,15,0,6,13,0,5,2,0,1,0,0,44,0,1
15,4,0,0,6,1,3,3,0,0,0,0,31,0,0
16,54,0,9,4,1,7,1,0,0,0,0,17,0,0
17,19,1,15,15,0,5,2,0,1,0,0,44,0,1
18,60,0,12,5,1,7,3,0,1,0,0,80,0,0
19,82,3,55,5,1,8,3,0,0,73,0,39,0,0
20,36,0,12,4,0,1,2,0,1,91,0,39,0,0
21,60,1,7,8,0,1,2,4,1,0,0,39,0,0
22,13,0,81,13,2,3,3,0,0,0,0,22,0,0
23,7,5,12,4,2,14,1,0,0,0,0,39,0,0
24,39,0,81,12,1,8,3,0,0,0,0,30,0,0
25,38,0,1,13,0,4,2,0,1,0,0,39,0,1
26,29,0,1,12,0,3,2,0,1,0,0,44,0,0
27,77,0,12,9,2,2,3,0,0,0,0,30,0,0
28,22,2,14,8,2,3,3,0,0,60,25,0,7,1
29,17,0,11,6,0,6,2,0,1,0,0,59,0,0
30,62,0,8,8,1,7,5,0,1,64,0,39,0,0
31,31,0,99,13,0,5,2,0,1,25,0,57,0,1
32,27,5,94,8,2,2,3,0,1,14,66,39,0,1
33,41,1,12,6,0,3,2,0,1,0,53,39,0,1
34,36,0,22,8,0,10,2,0,1,0,0,39,0,0
35,13,0,10,8,2,2,1,0,0,0,0,39,0,0
36,1,0,17,9,2,5,5,1,0,74,0,39,1,0
37,12,0,21,10,2,10,1,0,1,38,0,59,0,0
38,44,0,18,6,1,6,4,0,1,0,0,39,0,0
39,39,0,12,12,2,4,1,0,1,0,0,39,0,0
40,34,0,4,12,0,9,2,0,1,0,0,39,0,0
41,17,2,80,14,0,5,2,0,1,0,38,25,0,1
42,49,1,12,9,2,4,1,0,1,0,0,49,0,0
43,30,0,21,11,2,3,3,0,1,0,0,39,0,0
44,15,0,11,13,2,8,1,0,0,0,0,63,0,0
45,28,0,12,9,4,3,5,2,0,48,49,34,35,0
46,20,8,6,9,2,8,3,0,1,0,0,59,0,0
47,8,0,9,4,0,7,2,0,1,0,0,39,0,0
48,13,0,7,12,0,1,2,0,1,0,0,39,0,0
49,8,0,16,8,2,7,1,0,1,0,28,39,21,0
50,14,0,20,3,2,10,5,0,1,0,0,39,0,0
51,33,1,13,12,0,4,2,0,1,7,0,44,0,1
52,30,0,8,12,2,5,1,0,0,0,0,18,0,0
53,42,0,20,8,4,12,5,0,0,0,23,29,0,1
54,30,1,52,11,0,9,2,0,1,0,0,30,0,0
55,34,0,7,12,2,3,3,0,0,0,0,14,0,0
56,17,0,31,12,0,5,2,0,1,0,0,53,0,0
57,28,5,1,10,2,8,3,0,0,0,0,23,0,0
58,7,0,23,8,1,2,3,0,0,0,0,34,0,0
59,26,0,9,12,2,5,3,4,1,0,0,22,0,0
60,36,1,1,9,0,5,2,0,1,0,0,64,0,1
61,36,1,9,8,2,14,5,0,0,0,0,43,0,0
62,47,8,5,8,2,14,3,0,1,0,85,49,0,1
63,30,0,10,5,1,1,3,0,1,0,0,39,40,0
64,44,0,86,8,1,4,3,1,1,99,0,39,2,1
65,2,8,15,12,1,4,5,4,0,0,20,19,0,0
66,25,8,19,4,2,14,1,3,1,79,0,39,18,0
67,6,0,19,14,1,0,5,0,0,0,84,39,0,0
68,22,4,85,8,2,8,3,0,1,0,0,69,0,0
69,30,0,14,12,0,3,2,0,1,0,0,39,0,1
70,52,0,37,8,2,2,0,1,0,0,0,23,8,0
71,19,0,3,8,5,10,4,4,1,24,0,39,3,1
72,24,0,2,13,2,2,3,0,0,0,9,39,0,0
73,26,0,15,12,2,8,1,1,1,0,0,59,20,0
74,24,0,3,8,0,4,0,0,0,0,0,24,0,0
75,49,1,11,10,0,1,2,0,1,0,0,83,0,1
76,12,4,1,5,1,4,3,0,0,0,0,37,0,0
77,5,0,68,8,4,7,3,0,0,0,7,87,10,0
78,19,4,25,13,2,5,3,0,1,0,0,39,0,0
79,6,0,15,10,2,9,3,4,1,0,0,39,0,0
80,50,5,7,12,2,6,1,0,1,0,0,19,0,0
81,32,4,94,14,3,0,3,0,1,0,0,54,0,1
82,78,0,1,9,1,8,5,4,0,0,0,11,0,0
83,11,3,1,8,4,0,4,0,0,0,8,38,0,0
84,54,0,9,9,2,4,3,0,1,0,0,39,0,0
85,33,2,6,12,0,4,2,0,1,0,0,39,0,1
86,16,8,20,11,0,14,3,0,0,14,62,39,0,1
87,4,0,14,9,2,7,1,0,1,0,0,19,0,0
88,32,4,85,8,0,10,3,0,0,65,84,55,41,1
89,34,3,9,12,0,3,2,3,1,5,0,39,14,1
90,7,0,2,8,0,1,2,0,1,0,0,39,0,0
91,77,0,11,11,2,8,3,0,0,0,0,39,0,0
92,39,0,14,8,1,2,5,0,1,0,55,11,0,0
93,2,4,12,13,2,5,3,0,0,0,0,39,0,0
94,41,0,11,8,1,2,3,0,0,0,0,39,0,0
95,28,1,11,9,0,10,0,0,0,0,0,20,36,0
96,1,0,11,8,2,2,1,0,0,0,0,39,0,0
97,26,0,7,8,0,3,2,0,1,0,37,43,0,1
98,26,1,6,9,0,5,2,0,1,0,0,29,0,1
99,9,0,11,9,0,1,2,0,1,0,0,33,0,0
100,24,0,15,11,2,6,3,4,0,0,0,39,0,0
101,60,0,11,12,2,5,3,3,1,95,0,11,18,0
102,54,0,12,8,1,1,5,0,1,0,0,92,0,0
103,12,0,84,8,0,1,2,0,1,0,0,39,0,0
104,34,0,78,9,2,1,3,4,1,0,0,59,0,0
105,2,0,15,4,1,2,3,1,1,0,0,39,5,0
106,13,0,2,6,0,7,2,0,1,0,0,49,0,0
107,20,0,19,12,0,1,2,0,1,0,0,59,0,0
108,23,3,4,9,2,1,4,0,1,0,0,19,41,0
109,42,6,17,9,0,10,2,3,1,79,0,34,0,0
110,5,8,14,10,0,4,2,4,1,95,14,39,0,0
111,18,0,21,13,0,3,2,0,1,61,0,49,0,0
112,39,0,10,8,2,10,3,0,1,0,0,39,21,0
113,17,0,66,1,0,11,0,0,0,0,0,62,0,0
114,26,1,13,14,2,4,3,0,0,0,20,39,0,0
115,27,0,6,8,0,4,2,2,1,0,0,39,37,1
116,37,0,10,9,0,7,2,0,1,0,0,29,0,0
117,30,3,11,12,0,3,2,3,1,41,0,49,37,1
118,50,0,11,9,3,6,1,0,0,59,85,74,0,1
119,38,0,10,12,0,1,2,0,1,15,0,39,0,1
120,16,0,11,6,0,2,4,0,1,0,0,39,0,0
121,15,3,14,8,0,6,2,0,1,0,0,69,0,0
122,36,0,2,9,0,4,2,0,1,36,0,45,0,1
123,36,0,10,9,0,10,2,0,1,0,0,64,0,1
124,7,0,6,8,2,6,3,0,0,0,0,35,0,0
125,11,1,6,12,0,3,2,0,1,87,0,44,0,0
126,2,0,13,8,0,3,2,0,1,2,0,24,0,0
127,20,6,9,12,5,9,5,3,1,12,0,39,14,1
128,38,8,82,12,2,14,1,0,1,0,0,34,0,0
129,51,0,21,12,0,3,2,0,1,0,0,47,0,0
130,3,0,11,9,0,1,2,1,1,0,0,47,34,1
131,27,0,98,9,0,3,2,0,1,15,0,45,38,1
132,22,1,31,9,0,12,2,0,1,0,0,29,0,0
133,7,0,9,8,1,8,3,2,0,77,0,39,14,0
134,34,3,10,8,2,8,1,1,0,0,0,39,5,0
135,8,4,4,12,0,5,2,0,1,0,0,61,0,0
136,3,0,10,8,2,8,1,0,0,0,0,39,0,0
137,4,0,1,14,2,4,3,0,1,0,0,69,0,0
138,24,0,85,8,4,4,5,0,0,74,0,0,0,1
139,26,4,15,8,2,0,5,0,0,0,92,39,30,0
140,83,0,11,8,0,0,2,0,1,0,0,70,0,1
141,21,0,29,9,1,10,5,4,0,0,0,42,0,0
142,1,4,11,3,0,10,2,0,1,88,0,34,0,1
143,51,0,10,8,2,6,3,0,1,0,28,19,0,0
144,25,5,19,9,2,12,3,0,1,0,0,39,0,0
145,33,0,13,8,2,2,4,4,1,0,34,39,0,0
146,50,0,8,9,0,4,2,0,1,0,0,59,0,1
147,31,0,0,9,0,4,2,0,1,15,38,44,0,1
148,27,0,11,9,0,4,4,4,0,0,0,39,0,0
149,17,8,7,3,0,14,0,0,0,85,0,28,0,0
150,1,0,8,9,3,1,3,0,1,0,0,39,0,0
151,83,0,87,8,0,8,0,0,0,0,0,39,0,1
152,41,8,17,8,0,7,2,0,1,0,94,39,0,1
153,57,0,24,8,0,8,2,0,1,0,0,39,0,1
154,3,0,0,12,2,5,4,0,0,0,0,24,0,0
155,42,0,61,6,0,1,2,0,1,72,0,39,0,1
156,30,8,19,4,2,14,1,0,0,0,0,87,0,0
157,34,1,5,8,0,9,2,0,1,0,81,39,0,0
158,29,0,19,8,0,4,2,0,1,0,0,44,0,1
159,24,1,10,8,0,1,2,0,1,1,0,38,0,0
160,57,8,5,8,0,1,2,0,1,0,0,56,0,1
161,28,0,11,8,1,7,3,0,0,0,0,39,0,0
162,38,0,16,8,1,4,3,0,1,0,0,19,0,0
163,35,2,18,5,0,4,2,0,1,0,78,49,0,1
164,23,0,12,8,3,7,3,0,1,0,0,44,0,1
165,27,6,12,11,0,9,2,3,1,0,0,0,29,0
166,81,0,12,12,0,4,0,0,0,28,0,51,0,1
167,27,0,55,8,0,7,0,0,0,0,0,37,0,0
168,54,0,20,4,2,6,1,4,1,65,32,3,0,0
169,55,5,12,14,0,5,2,0,1,0,59,39,0,1
170,36,0,19,8,1,0,3,0,0,0,0,54,0,0
171,57,1,2,12,0,5,2,0,1,90,0,39,0,1
172,7,0,16,8,2,3,3,4,1,0,0,41,0,0
173,24,5,13,12,0,5,2,0,1,0,0,30,0,1
174,2,0,7,12,2,3,1,0,1,0,0,54,28,0
175,30,0,10,8,2,1,5,0,1,0,0,61,0,0
176,29,0,11,6,0,7,2,0,1,0,0,39,0,0
177,25,0,6,3,0,10,2,0,1,0,39,44,0,0
178,30,0,11,9,0,4,2,0,1,0,0,39,0,1
179,34,3,29,12,0,4,2,3,1,43,94,39,14,1
180,38,0,17,12,2,5,1,0,1,0,0,29,0,0
181,50,1,54,5,2,3,3,0,0,0,0,92,0,1
182,13,0,60,13,2,4,3,0,0,0,0,36,0,0
183,3,8,11,8,1,14,5,1,1,0,0,19,30,0
184,12,2,12,2,2,4,1,0,1,0,0,39,0,0
185,14,0,77,12,1,0,3,0,0,16,0,19,0,0
186,21,0,7,8,2,0,3,0,0,0,20,98,0,0
187,7,5,18,12,0,5,2,0,1,0,38,44,0,0
188,24,0,21,11,2,10,3,0,1,0,0,39,0,0
189,63,0,24,8,1,7,5,0,1,0,0,29,0,0
190,23,5,5,9,0,4,2,0,1,0,40,54,0,1
191,9,1,14,9,3,1,5,0,1,0,0,22,0,0
192,38,0,10,9,1,4,3,0,0,0,0,19,0,0
