,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
0,35,0,7,14,0,5,2,0,1,5,0,49,0,1
1,5,0,5,5,2,7,1,1,1,26,0,44,13,0
2,6,0,6,13,0,4,2,0,1,0,82,17,0,0
3,2,0,11,9,2,8,1,0,0,96,7,30,0,0
4,28,5,58,1,4,11,4,0,0,0,0,39,0,0
5,17,6,66,8,0,10,2,3,1,83,0,39,7,1
6,1,0,5,4,2,2,1,0,1,0,10,39,41,0
7,25,0,75,9,0,5,2,4,1,48,0,82,0,1
8,50,0,21,11,2,6,1,0,1,0,33,19,0,0
9,34,0,15,15,5,5,3,0,1,0,0,39,0,0
10,16,0,23,12,0,5,2,0,1,0,0,23,0,0
11,43,3,1,12,0,4,2,0,1,0,0,39,0,1
12,25,1,3,2,2,9,3,0,1,0,0,44,0,0
13,28,0,82,8,2,2,3,0,1,0,0,39,41,0
14,34,0,15,6,2,2,1,0,1,0,0,39,0,0
15,12,0,66,13,2,0,3,0,0,43,0,15,0,0
16,3,0,19,12,2,5,3,0,0,0,0,39,0,0
17,20,3,7,12,0,4,2,0,1,88,0,37,0,1
18,14,4,97,9,4,8,3,0,0,0,0,44,0,0
19,45,0,99,2,0,11,2,0,1,0,96,59,0,1
20,6,0,13,8,0,10,2,0,1,0,0,39,0,0
21,5,5,10,8,0,8,2,2,1,0,0,34,7,0
22,50,4,22,9,0,1,2,0,1,0,0,39,0,0
23,80,0,77,12,2,3,3,0,0,41,0,34,0,0
24,29,0,8,13,0,5,2,0,1,0,0,39,0,0
25,12,0,14,8,0,2,2,0,1,0,0,39,0,0
26,21,0,7,12,0,4,2,0,1,0,55,39,0,1
27,19,0,24,13,2,3,3,0,1,0,0,19,0,0
28,13,0,1,5,1,7,5,0,1,0,0,39,0,0
29,4,4,2,12,1,4,5,0,0,0,0,39,23,0
30,62,0,8,15,2,1,3,0,1,0,0,39,0,0
31,6,1,11,10,1,7,3,0,1,0,0,44,2,0
32,40,0,14,13,0,4,2,0,1,71,5,39,28,1
33,13,3,55,8,0,4,0,1,0,0,0,39,41,0
34,30,0,13,12,2,5,1,0,0,0,0,47,0,0
35,11,0,15,8,2,6,3,4,1,0,0,59,0,0
36,45,2,32,6,0,3,2,0,1,83,43,82,0,1
37,32,0,8,15,0,1,2,0,1,0,0,26,0,0
38,3,0,5,12,2,8,1,0,0,0,0,39,0,0
39,34,0,11,8,2,2,3,0,1,0,0,39,0,0
40,21,0,12,13,2,4,4,0,0,0,49,19,0,0
41,40,0,12,9,2,2,3,0,1,0,0,49,0,0
42,8,0,15,8,0,6,2,0,1,0,89,39,0,0
43,20,5,7,5,0,2,2,2,1,7,0,34,0,1
44,24,5,16,8,2,8,3,0,0,0,0,44,16,0
45,18,0,8,12,0,6,2,4,1,0,0,39,0,0
46,13,0,10,11,0,3,0,0,0,0,15,59,0,0
47,3,0,89,9,2,5,1,0,0,0,0,17,0,0
48,12,8,11,10,2,14,4,2,1,0,0,39,0,0
49,21,0,4,8,1,8,5,0,0,29,0,39,0,0
50,35,0,71,8,1,4,5,0,0,65,0,13,0,0
51,12,8,8,8,2,14,3,0,1,0,0,39,0,0
52,28,0,2,4,2,6,1,0,1,0,0,39,0,0
53,16,3,12,8,2,6,1,1,1,0,0,69,15,0
54,7,0,18,8,2,2,1,0,0,0,57,39,0,0
55,1,0,57,12,0,4,2,0,1,0,0,31,0,0
56,12,0,20,3,1,1,3,0,1,0,0,49,0,0
57,8,0,11,8,0,1,2,0,1,95,0,39,0,0
58,14,0,12,14,2,5,3,4,1,0,0,2,34,0
59,23,4,7,8,0,1,2,0,1,48,0,3,0,1
60,3,5,7,9,2,14,3,0,1,0,0,85,0,0
61,16,0,23,9,0,4,2,0,1,7,0,39,0,1
62,52,0,5,12,1,2,5,4,0,63,0,39,0,0
63,14,0,14,9,2,8,3,0,0,0,76,17,0,0
64,3,8,59,9,4,14,3,0,0,0,0,39,0,0
65,4,0,12,8,0,1,2,0,1,0,0,74,0,0
66,40,0,12,10,0,3,2,0,1,0,0,39,0,1
67,31,5,5,8,1,4,3,4,1,61,0,49,35,1
68,49,7,67,8,0,0,2,1,1,0,23,33,2,1
69,7,0,85,8,2,8,5,0,0,0,0,34,0,0
70,40,0,11,12,0,3,2,0,1,0,0,39,0,0
71,30,0,67,8,0,3,2,0,1,48,0,64,0,1
72,10,0,23,9,1,8,3,4,0,0,0,39,0,0
73,4,1,5,8,0,10,2,0,1,0,0,39,0,0
74,25,0,14,8,0,6,2,0,1,0,0,39,0,0
75,12,0,53,8,1,10,5,0,1,93,0,39,0,0
76,5,1,9,4,2,1,3,0,1,0,0,33,0,0
77,41,8,7,9,0,14,2,0,1,21,94,69,0,1
78,5,4,14,12,2,5,1,0,0,0,0,41,0,0
79,26,8,22,4,2,14,5,0,0,58,0,58,0,0
80,38,0,24,10,1,4,3,0,1,0,0,0,0,0
81,36,2,9,8,0,0,2,0,1,86,13,59,0,1
82,46,0,18,9,0,8,2,0,1,5,0,11,0,1
83,19,0,5,8,0,1,2,0,1,0,0,39,0,0
84,72,0,11,9,0,3,4,0,0,0,0,14,0,0
85,24,2,60,12,0,3,2,0,1,5,0,69,0,1
86,40,2,13,12,0,5,2,0,1,78,0,44,0,1
87,18,8,23,8,0,14,2,0,1,0,0,39,0,0
88,28,8,12,8,1,14,3,1,0,69,84,19,15,0
89,36,1,11,12,0,4,2,0,1,4,0,49,0,1
90,69,0,10,12,4,12,4,0,0,6,62,76,0,1
91,29,2,8,9,0,4,2,0,1,7,0,59,0,1
92,28,0,70,12,3,5,1,0,0,6,0,39,0,1
93,24,0,1,0,0,2,2,0,1,0,0,39,0,0
94,48,8,29,8,0,14,2,0,1,0,0,39,0,1
95,22,0,13,9,4,8,5,0,0,0,0,19,0,0
96,13,8,13,9,2,14,1,1,0,13,0,17,0,0
97,32,2,78,0,2,0,1,0,1,0,0,59,0,0
98,6,0,9,9,2,8,3,0,0,0,0,41,0,0
99,13,0,8,9,0,8,0,0,0,0,0,38,32,0
100,25,0,1,8,2,7,1,0,1,0,0,44,0,0
101,33,0,57,10,2,1,4,0,1,0,0,31,0,0
102,32,0,11,12,1,5,5,4,0,0,0,83,0,0
103,17,1,25,10,2,3,1,0,1,0,0,39,0,0
104,50,0,1,12,2,4,3,0,1,5,0,59,0,1
105,50,0,14,8,0,3,2,0,1,0,0,54,0,0
106,22,2,9,12,1,4,5,3,1,0,0,14,6,0
107,3,1,10,9,1,2,3,3,0,0,0,90,2,0
108,17,0,14,13,2,4,3,4,0,0,0,39,0,0
109,6,3,17,11,2,8,5,4,0,0,76,39,31,0
110,51,0,11,13,2,3,5,4,0,2,0,39,16,0
111,34,0,19,8,0,7,2,3,1,0,0,39,15,0
112,6,0,5,9,2,4,3,0,0,0,0,39,0,0
113,4,8,11,7,2,14,3,0,0,0,0,39,41,0
114,20,0,17,9,0,8,2,0,1,48,0,23,0,1
115,35,0,11,9,0,8,3,0,0,6,15,22,0,1
116,46,0,6,6,0,3,1,0,1,0,0,39,29,1
117,30,0,80,8,0,10,2,0,1,0,0,64,0,1
118,3,0,36,9,2,4,1,0,1,0,0,39,0,0
119,30,0,43,10,0,7,2,0,1,80,13,39,0,1
120,2,0,12,8,2,3,1,0,1,74,0,39,0,0
