,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
0,3,3,14,8,2,1,1,1,1,0,0,39,5,0
1,20,0,12,6,1,6,1,4,0,0,0,39,0,0
2,23,7,8,2,0,9,2,0,1,78,0,13,0,1
3,25,1,18,9,0,9,2,0,1,0,0,24,0,0
4,13,0,9,2,0,1,2,0,1,0,0,69,0,1
5,14,0,97,8,1,1,3,0,0,12,0,45,0,1
6,20,0,32,9,0,5,2,0,1,0,0,39,0,1
7,44,0,81,9,1,1,3,0,0,0,20,69,0,0
8,6,0,18,8,1,7,3,0,1,0,0,37,0,0
9,49,0,19,12,0,4,2,4,1,0,2,59,16,0
10,17,0,67,5,0,3,2,0,1,43,43,39,0,1
11,40,4,12,8,0,10,2,0,1,0,0,44,0,1
12,32,0,13,12,2,5,5,4,0,0,0,39,0,0
13,65,0,20,12,1,10,3,4,1,0,0,39,0,0
14,15,0,94,5,2,3,1,1,0,0,7,89,0,0
15,12,0,17,12,2,5,1,0,1,0,0,47,0,0
16,30,1,7,9,0,12,2,0,1,0,0,34,0,0
17,14,0,2,15,0,5,2,0,1,0,0,5,0,1
18,6,0,55,9,0,5,0,0,0,0,0,44,0,1
19,9,0,20,8,1,1,3,0,1,0,0,39,0,0
20,15,6,12,8,0,14,2,3,1,4,0,39,0,0
21,15,0,22,9,0,4,2,0,1,0,99,39,0,1
22,60,4,3,12,2,8,3,0,1,0,0,39,0,0
23,17,0,14,9,0,1,2,1,1,0,0,39,30,0
24,10,6,10,9,3,13,1,1,0,0,0,39,15,0
25,15,0,23,8,0,6,2,0,1,0,0,34,0,0
26,19,0,13,8,0,2,2,0,1,86,0,36,0,0
27,21,0,7,9,2,4,3,0,1,0,0,39,0,0
28,2,0,1,8,1,7,5,0,0,0,0,39,0,0
29,26,0,6,8,5,10,5,0,1,21,0,39,0,1
30,67,0,6,8,1,2,5,0,0,0,0,19,0,0
31,6,0,15,8,0,3,2,0,1,0,0,39,0,0
32,13,0,50,10,1,0,5,0,0,0,0,14,0,0
33,9,0,10,13,2,5,3,3,1,0,0,31,29,0
34,13,0,60,14,1,8,5,0,0,0,0,17,0,0
35,20,0,9,8,2,6,3,0,1,0,0,39,0,0
36,19,0,43,8,0,7,2,0,1,0,0,50,0,0
37,17,0,19,8,4,7,3,0,0,0,20,49,0,0
38,13,0,5,9,2,2,1,0,0,0,0,39,0,0
39,22,0,23,12,1,7,5,0,0,0,0,6,0,0
40,25,0,7,13,0,8,2,0,1,0,0,39,0,0
41,7,3,12,9,2,13,3,0,1,0,13,19,0,1
42,15,0,12,12,0,5,2,0,1,0,0,11,0,1
43,3,2,12,12,0,4,2,0,1,0,0,19,0,0
44,31,0,11,8,0,4,2,0,1,0,0,59,0,1
45,6,0,77,12,2,2,3,0,0,0,91,37,0,0
46,37,7,10,9,0,6,2,1,1,0,0,30,7,1
47,72,0,30,9,0,8,2,0,1,0,94,59,0,1
48,4,0,5,8,2,2,3,0,0,0,3,34,0,0
49,16,0,56,9,2,2,1,0,1,0,0,39,0,0
50,9,0,22,8,0,7,2,0,1,0,82,69,0,0
51,14,1,15,9,0,9,2,0,1,0,32,39,0,0
52,27,0,5,8,1,1,3,0,1,0,0,75,0,0
53,29,0,4,9,2,2,1,4,1,0,0,59,0,0
54,3,1,8,9,0,1,2,0,1,0,0,34,0,0
55,30,8,9,9,0,12,2,4,1,0,0,39,10,1
56,11,0,22,12,0,5,2,4,1,0,0,39,0,0
57,22,0,2,8,0,8,2,0,1,0,55,49,0,0
58,2,8,3,9,0,14,0,0,0,0,0,27,0,0
59,5,0,6,13,0,5,2,0,1,0,0,59,0,0
60,16,0,6,7,2,7,5,0,1,0,0,34,20,0
61,41,0,12,15,0,5,2,0,1,99,40,39,0,1
62,1,0,29,8,1,2,5,0,0,0,0,39,0,0
63,77,0,2,5,2,3,1,0,0,0,0,17,2,0
64,14,3,12,12,1,8,5,4,0,12,0,34,41,0
65,14,1,12,9,2,9,1,4,1,26,0,39,0,0
66,61,5,18,12,2,5,3,4,0,30,0,39,0,0
67,12,0,82,8,2,7,1,0,1,0,0,39,2,0
68,50,0,13,9,0,1,2,0,1,0,0,39,0,0
69,44,8,13,8,2,14,1,1,0,0,0,59,20,0
70,29,0,11,8,2,2,1,0,1,0,0,44,0,0
71,8,0,16,8,0,1,2,0,1,0,0,19,0,0
72,7,0,53,8,0,2,2,0,1,0,0,39,2,0
73,34,4,6,15,1,1,3,0,1,0,0,59,0,1
74,50,0,9,11,1,8,3,0,0,0,0,49,0,0
75,81,3,5,8,2,8,3,0,0,0,8,13,0,0
76,25,0,13,8,2,2,1,0,1,0,0,39,0,0
77,3,4,8,8,2,8,1,0,0,0,0,24,0,0
78,9,0,6,8,2,3,3,0,0,0,0,39,0,0
79,12,0,17,6,2,3,3,0,1,0,0,54,0,0
80,4,1,21,3,0,1,2,4,1,11,33,39,4,0
81,16,0,11,8,2,6,5,4,1,0,0,19,0,0
82,28,0,9,12,0,4,2,4,1,0,0,39,24,1
83,9,5,20,14,2,5,3,4,0,0,44,17,0,0
84,33,1,13,12,0,3,2,0,1,0,0,49,0,1
85,10,8,58,8,2,12,3,0,0,0,0,39,0,0
86,8,0,3,8,4,2,3,0,0,0,0,39,0,0
87,21,8,18,1,0,11,2,0,1,15,0,5,0,1
88,19,8,10,6,0,7,2,0,1,91,0,29,20,0
89,52,0,16,8,0,8,0,0,0,0,0,39,0,0
90,3,0,21,10,2,0,1,0,1,0,0,49,0,0
91,24,0,30,14,0,8,2,0,1,0,0,39,0,0
92,18,3,16,13,1,4,3,4,1,0,0,49,0,0
93,33,0,0,12,0,2,4,0,1,0,0,39,0,0
94,36,8,15,6,2,14,3,4,0,0,0,19,0,0
95,18,1,12,9,1,1,5,0,0,0,0,39,0,0
96,35,6,15,11,2,13,3,3,1,0,0,39,0,0
97,3,1,76,8,0,7,2,0,1,4,7,49,0,0
98,33,0,10,13,0,3,2,0,1,0,0,39,0,0
99,2,8,1,8,2,14,1,0,1,0,0,39,0,0
100,33,0,12,8,2,8,1,0,0,0,9,39,0,0
101,4,0,7,9,2,8,3,3,0,0,0,46,18,0
102,29,0,1,5,0,4,2,0,1,95,0,43,0,0
103,20,0,4,8,0,4,2,0,1,0,0,70,0,1
104,26,0,9,13,3,5,3,1,1,0,37,39,34,1
105,23,3,36,12,1,0,5,2,0,0,0,47,30,0
106,27,0,14,12,2,0,3,0,1,0,14,49,0,0
107,10,1,9,8,2,12,1,0,1,0,12,69,0,0
108,11,0,6,8,0,10,2,0,1,0,0,39,0,0
109,15,8,7,8,2,14,5,0,0,0,0,36,0,0
110,13,1,13,8,2,12,1,0,1,0,0,39,0,0
111,72,0,14,14,1,4,3,0,1,0,5,39,0,1
112,17,3,12,8,0,4,2,0,1,0,0,39,0,1
113,6,0,9,8,1,8,3,1,0,0,0,29,20,0
114,5,0,12,9,0,6,2,0,1,0,0,39,18,0
115,6,8,19,9,0,6,2,0,1,0,0,19,41,0
116,7,5,11,13,2,4,1,0,0,0,0,38,0,0
117,28,4,80,15,0,5,2,0,1,0,0,59,0,1
118,27,3,21,8,0,8,2,4,1,0,0,39,7,1
119,50,1,6,9,5,5,5,0,0,0,0,63,0,0
120,47,0,12,8,2,8,3,1,0,70,0,34,30,0
121,2,0,0,7,0,10,2,0,1,0,34,54,0,0
122,6,8,12,13,2,14,3,0,1,0,0,39,0,0
123,23,1,95,12,0,5,2,0,1,0,0,49,0,1
124,39,0,79,5,2,1,3,4,1,0,0,49,0,0
125,32,0,10,12,0,5,2,0,1,0,0,11,0,0
126,6,0,7,11,2,0,3,0,1,0,0,39,0,0
127,2,0,14,8,1,4,3,0,1,81,0,39,0,0
128,8,0,6,8,2,9,3,0,1,0,0,57,0,0
129,23,0,19,8,2,9,1,3,1,0,0,61,8,0
130,20,0,6,12,2,3,3,0,0,0,0,39,0,0
131,76,0,13,9,4,12,4,1,0,0,11,77,35,1
132,53,8,86,8,2,14,3,0,0,0,0,29,0,0
